Date,rented_count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Functioning Day,Seasons,,
09/02/2018,1047,23,25.1,65,2.2,2000,0,0,0,0,1,Autumn,,
09/03/2018,763,0,24.7,67,1.2,2000,0,0,0,0,1,Autumn,,
09/03/2018,524,1,24.5,68,0.5,2000,0,0,0,0,1,Autumn,,
09/03/2018,321,2,24.3,68,1,2000,0,0,0,0,1,Autumn,,
09/03/2018,211,3,24.2,70,0.3,2000,0,0,0,0,1,Autumn,,
09/03/2018,153,4,24,70,1.2,2000,0,0,0,0,1,Autumn,,
09/03/2018,264,5,23.9,70,1.5,2000,0,0,0,0,1,Autumn,,
09/03/2018,656,6,23.8,71,1.2,2000,0,0,0,0,1,Autumn,,
09/03/2018,1287,7,23.9,71,0.4,2000,0.02,0,0,0,1,Autumn,,
09/03/2018,1580,8,24.2,70,1.4,2000,0.16,0,0,0,1,Autumn,,
09/03/2018,719,9,23.6,86,1.2,336,0.14,2,0,0,1,Autumn,,
09/03/2018,434,10,23.3,89,0.7,1716,0.2,0.5,0,0,1,Autumn,,
09/03/2018,443,11,23.7,86,0.6,1798,0.31,0,0,0,1,Autumn,,
09/03/2018,673,12,23.9,83,1.1,1901,0.27,0,0,0,1,Autumn,,
09/03/2018,731,13,24.9,78,1.5,1910,0.72,0,0,0,1,Autumn,,
09/03/2018,532,14,25.6,77,0.8,1930,0.78,0,0,0,1,Autumn,,
09/03/2018,137,15,25.7,81,0.7,1825,0.43,0,0,0,1,Autumn,,
09/03/2018,39,16,25.5,91,1.3,403,0.23,3.5,0,0,1,Autumn,,
09/03/2018,23,17,22.7,96,4.9,452,0.07,13,0,0,1,Autumn,,
09/03/2018,113,18,21.9,97,1.8,757,0.02,13,0,0,1,Autumn,,
09/03/2018,73,19,21.7,97,0.2,1154,0.01,1,0,0,1,Autumn,,
09/03/2018,151,20,21.5,97,0.3,2000,0,0.5,0,0,1,Autumn,,
09/03/2018,110,21,21.6,97,0.5,646,0,0.5,0,0,1,Autumn,,
09/03/2018,379,22,21.7,97,0.4,440,0,0.5,0,0,1,Autumn,,
09/03/2018,486,23,21.7,97,0.8,838,0,0,0,0,1,Autumn,,
09/04/2018,500,0,21.4,97,0.1,404,0,0,0,0,1,Autumn,,
09/04/2018,486,1,21.3,97,1.1,570,0,0,0,0,1,Autumn,,
09/04/2018,324,2,20.9,96,0.4,970,0,0,0,0,1,Autumn,,
09/04/2018,223,3,20.6,97,0.2,500,0,0,0,0,1,Autumn,,
09/04/2018,186,4,20.4,97,2.7,704,0,0,0,0,1,Autumn,,
09/04/2018,219,5,20.2,97,1.2,528,0,0,0,0,1,Autumn,,
09/04/2018,602,6,20,97,0,647,0,0,0,0,1,Autumn,,
09/04/2018,1289,7,20.1,97,1.9,443,0.03,0,0,0,1,Autumn,,
09/04/2018,2059,8,20.5,90,1.9,490,0.53,0,0,0,1,Autumn,,
09/04/2018,1083,9,21.6,81,2.3,1669,1.2,0,0,0,1,Autumn,,
09/04/2018,822,10,23.1,73,3.1,2000,2.24,0,0,0,1,Autumn,,
09/04/2018,940,11,24.5,64,2.7,2000,2.7,0,0,0,1,Autumn,,
09/04/2018,995,12,25.8,57,2.8,2000,3.02,0,0,0,1,Autumn,,
09/04/2018,997,13,26.5,58,2.8,2000,2.87,0,0,0,1,Autumn,,
09/04/2018,987,14,27.4,52,3.8,1998,2.67,0,0,0,1,Autumn,,
09/04/2018,1178,15,26.7,51,3.4,2000,2.09,0,0,0,1,Autumn,,
09/04/2018,1429,16,27.1,47,4.3,2000,1.82,0,0,0,1,Autumn,,
09/04/2018,1993,17,27.6,47,3.3,2000,1.49,0,0,0,1,Autumn,,
09/04/2018,3166,18,26.8,53,2.6,2000,0.8,0,0,0,1,Autumn,,
09/04/2018,2491,19,25.1,49,3.1,2000,0.18,0,0,0,1,Autumn,,
09/04/2018,2259,20,23.7,49,3.3,2000,0,0,0,0,1,Autumn,,
09/04/2018,2212,21,22.9,55,3,2000,0,0,0,0,1,Autumn,,
09/04/2018,1856,22,22.2,58,1.5,2000,0,0,0,0,1,Autumn,,
09/04/2018,1233,23,21.7,60,0.5,2000,0,0,0,0,1,Autumn,,
09/05/2018,983,0,21.1,64,1.5,2000,0,0,0,0,1,Autumn,,
09/05/2018,748,1,20.9,66,1.1,2000,0,0,0,0,1,Autumn,,
09/05/2018,493,2,20.6,72,0.9,2000,0,0,0,0,1,Autumn,,
09/05/2018,376,3,20.2,77,0.4,2000,0,0,0,0,1,Autumn,,
09/05/2018,220,4,19.9,81,0.2,2000,0,0,0,0,1,Autumn,,
09/05/2018,249,5,19.7,82,0.5,2000,0,0,0,0,1,Autumn,,
09/05/2018,676,6,19.8,82,0.5,2000,0,0,0,0,1,Autumn,,
09/05/2018,1487,7,19.8,79,0.9,2000,0.13,0,0,0,1,Autumn,,
09/05/2018,2312,8,21.2,69,1.9,2000,0.74,0,0,0,1,Autumn,,
09/05/2018,1195,9,23.4,59,3,1974,1.46,0,0,0,1,Autumn,,
09/05/2018,847,10,25.4,49,3.9,1996,2.13,0,0,0,1,Autumn,,
09/05/2018,937,11,26.4,47,2.9,2000,2.38,0,0,0,1,Autumn,,
09/05/2018,1072,12,27.1,44,5,2000,2.8,0,0,0,1,Autumn,,
09/05/2018,1039,13,27.3,46,4.8,1983,2.92,0,0,0,1,Autumn,,
09/05/2018,989,14,27.9,42,5,1914,2.79,0,0,0,1,Autumn,,
09/05/2018,1131,15,28.1,43,5.1,1929,2.65,0,0,0,1,Autumn,,
09/05/2018,1446,16,28.2,37,4,1987,2.03,0,0,0,1,Autumn,,
09/05/2018,2068,17,27.7,40,5,2000,1.51,0,0,0,1,Autumn,,
09/05/2018,3160,18,27,45,2.4,2000,0.77,0,0,0,1,Autumn,,
09/05/2018,2468,19,25.4,55,3.2,2000,0.15,0,0,0,1,Autumn,,
09/05/2018,2177,20,24.5,64,2,2000,0,0,0,0,1,Autumn,,
09/05/2018,2024,21,23.9,75,2.3,1975,0,0,0,0,1,Autumn,,
09/05/2018,1798,22,23.6,82,1.8,1673,0,0,0,0,1,Autumn,,
09/05/2018,1219,23,23,83,1.8,1469,0,0,0,0,1,Autumn,,
09/06/2018,963,0,22.5,83,0.5,1593,0,0,0,0,1,Autumn,,
09/06/2018,743,1,21.9,85,0.2,1410,0,0,0,0,1,Autumn,,
09/06/2018,531,2,21.6,86,0.2,1353,0,0,0,0,1,Autumn,,
09/06/2018,320,3,21.5,85,0.1,1282,0,0,0,0,1,Autumn,,
09/06/2018,215,4,21.6,87,0.4,951,0,0,0,0,1,Autumn,,
09/06/2018,247,5,21.7,87,0.6,846,0,0,0,0,1,Autumn,,
09/06/2018,680,6,21.4,84,0.8,1506,0,0,0,0,1,Autumn,,
09/06/2018,1438,7,20.9,83,0.4,1388,0.09,0,0,0,1,Autumn,,
09/06/2018,2270,8,21.8,77,0.9,1419,0.43,0,0,0,1,Autumn,,
09/06/2018,1186,9,23.5,72,0.5,1485,0.95,0,0,0,1,Autumn,,
09/06/2018,835,10,24.6,70,1.2,1454,0.96,0,0,0,1,Autumn,,
09/06/2018,941,11,25.9,63,2.5,1693,1.32,0,0,0,1,Autumn,,
09/06/2018,1041,12,26.9,60,2.3,1592,1.67,0,0,0,1,Autumn,,
09/06/2018,1049,13,28,52,2.3,1642,1.85,0,0,0,1,Autumn,,
09/06/2018,1032,14,27.9,47,3.2,1869,1.65,0,0,0,1,Autumn,,
09/06/2018,1089,15,27.8,48,3,1880,0.93,0,0,0,1,Autumn,,
09/06/2018,1292,16,26.9,55,3.9,1909,0.54,0,0,0,1,Autumn,,
09/06/2018,1525,17,26.6,63,3,2000,0.43,0,0,0,1,Autumn,,
09/06/2018,2497,18,25.8,58,2.9,2000,0.16,0,0,0,1,Autumn,,
09/06/2018,1990,19,25.3,71,3.3,2000,0.05,0,0,0,1,Autumn,,
09/06/2018,1900,20,25.1,71,3.6,2000,0,0,0,0,1,Autumn,,
09/06/2018,1851,21,24.6,70,2.5,2000,0,0,0,0,1,Autumn,,
09/06/2018,1641,22,24.3,71,2.5,1992,0,0,0,0,1,Autumn,,
09/06/2018,562,23,23.9,71,4.7,1982,0,0,0,0,1,Autumn,,
09/07/2018,556,0,21.3,82,3.5,1933,0,1,0,0,1,Autumn,,
09/07/2018,345,1,21.6,77,2.6,1777,0,0,0,0,1,Autumn,,
09/07/2018,259,2,21.3,76,2.2,1559,0,0.5,0,0,1,Autumn,,
09/07/2018,259,3,21.1,75,1.8,1551,0,0,0,0,1,Autumn,,
09/07/2018,185,4,20.8,66,1.5,1719,0,0,0,0,1,Autumn,,
09/07/2018,247,5,20.5,67,1.2,1649,0,0,0,0,1,Autumn,,
09/07/2018,624,6,20.2,70,1.6,1690,0,0,0,0,1,Autumn,,
09/07/2018,1346,7,20.3,74,1.8,1372,0.07,0,0,0,1,Autumn,,
09/07/2018,2260,8,20.5,78,2.5,1250,0.32,0,0,0,1,Autumn,,
09/07/2018,1194,9,21.3,63,2.7,1969,1.15,0,0,0,1,Autumn,,
09/07/2018,896,10,22.6,58,1.8,1962,2.02,0,0,0,1,Autumn,,
09/07/2018,988,11,23.8,51,3.5,1970,2.62,0,0,0,1,Autumn,,
09/07/2018,1213,12,24.2,50,3.8,2000,2.85,0,0,0,1,Autumn,,
09/07/2018,1119,13,24.3,50,2.9,2000,2.37,0,0,0,1,Autumn,,
09/07/2018,1187,14,25.2,43,3.2,1981,2.59,0,0,0,1,Autumn,,
09/07/2018,1391,15,24.7,44,4.2,2000,1.92,0,0,0,1,Autumn,,
09/07/2018,1577,16,25.2,39,2.8,1987,1.65,0,0,0,1,Autumn,,
09/07/2018,2183,17,24.5,37,3.2,2000,1.04,0,0,0,1,Autumn,,
09/07/2018,3154,18,24.4,34,2.4,2000,0.84,0,0,0,1,Autumn,,
09/07/2018,2365,19,22.6,39,2.8,2000,0.14,0,0,0,1,Autumn,,
09/07/2018,1959,20,21.6,43,1.4,2000,0,0,0,0,1,Autumn,,
09/07/2018,1915,21,20.6,48,2.1,2000,0,0,0,0,1,Autumn,,
09/07/2018,1796,22,19.8,51,1.2,2000,0,0,0,0,1,Autumn,,
09/07/2018,1363,23,19.4,50,2.8,2000,0,0,0,0,1,Autumn,,
09/08/2018,1107,0,19.2,53,3.7,2000,0,0,0,0,1,Autumn,,
09/08/2018,1001,1,18.9,55,2.3,2000,0,0,0,0,1,Autumn,,
09/08/2018,692,2,18.5,57,2.3,2000,0,0,0,0,1,Autumn,,
09/08/2018,504,3,17.8,60,0.2,2000,0,0,0,0,1,Autumn,,
09/08/2018,285,4,17.2,66,0.6,2000,0,0,0,0,1,Autumn,,
09/08/2018,227,5,16.7,70,0.8,2000,0,0,0,0,1,Autumn,,
09/08/2018,322,6,16.2,70,0.3,2000,0,0,0,0,1,Autumn,,
09/08/2018,511,7,16,70,1.1,2000,0.11,0,0,0,1,Autumn,,
09/08/2018,827,8,17.1,57,1,1979,0.76,0,0,0,1,Autumn,,
09/08/2018,956,9,19.9,51,0.6,1906,1.46,0,0,0,1,Autumn,,
09/08/2018,1096,10,22.2,43,0.9,1891,2.09,0,0,0,1,Autumn,,
09/08/2018,1179,11,24.2,41,1.5,1818,2.62,0,0,0,1,Autumn,,
09/08/2018,1273,12,25.2,36,2.4,1995,2.93,0,0,0,1,Autumn,,
09/08/2018,1505,13,26.1,32,3,1985,3.06,0,0,0,1,Autumn,,
09/08/2018,1554,14,26.8,31,2.8,2000,2.96,0,0,0,1,Autumn,,
09/08/2018,1792,15,26.9,33,2.9,1997,2.65,0,0,0,1,Autumn,,
09/08/2018,1943,16,27.7,32,1.4,2000,2.05,0,0,0,1,Autumn,,
09/08/2018,2167,17,27.2,35,1.7,2000,1.32,0,0,0,1,Autumn,,
09/08/2018,2255,18,25.7,38,1.5,2000,0.64,0,0,0,1,Autumn,,
09/08/2018,1978,19,24,41,1.9,2000,0.1,0,0,0,1,Autumn,,
09/08/2018,1944,20,22.8,45,2,2000,0,0,0,0,1,Autumn,,
09/08/2018,1878,21,22.1,49,1.7,2000,0,0,0,0,1,Autumn,,
09/08/2018,1675,22,21.5,51,2,2000,0,0,0,0,1,Autumn,,
09/08/2018,1142,23,20.7,52,1.4,2000,0,0,0,0,1,Autumn,,
09/09/2018,1185,0,19.6,53,1.5,2000,0,0,0,0,1,Autumn,,
09/09/2018,835,1,18.8,54,0.1,2000,0,0,0,0,1,Autumn,,
09/09/2018,589,2,18.1,57,0.3,2000,0,0,0,0,1,Autumn,,
09/09/2018,395,3,17.4,57,0.6,2000,0,0,0,0,1,Autumn,,
09/09/2018,264,4,17,59,0,2000,0,0,0,0,1,Autumn,,
09/09/2018,165,5,16.3,66,0.5,2000,0,0,0,0,1,Autumn,,
09/09/2018,255,6,15.8,69,0.9,2000,0,0,0,0,1,Autumn,,
09/09/2018,366,7,15.7,68,0.9,2000,0.05,0,0,0,1,Autumn,,
09/09/2018,644,8,17.4,56,0.8,2000,0.49,0,0,0,1,Autumn,,
09/09/2018,803,9,20.4,51,1.8,2000,1.43,0,0,0,1,Autumn,,
09/09/2018,928,10,22.9,45,1.5,2000,2.1,0,0,0,1,Autumn,,
09/09/2018,1051,11,24.4,41,1.3,1982,2.61,0,0,0,1,Autumn,,
09/09/2018,1220,12,25.9,39,1.2,1950,2.89,0,0,0,1,Autumn,,
09/09/2018,1432,13,27.2,32,1.7,2000,3.12,0,0,0,1,Autumn,,
09/09/2018,1662,14,28.2,29,2,2000,3.09,0,0,0,1,Autumn,,
09/09/2018,1877,15,28.9,27,1.8,2000,2.9,0,0,0,1,Autumn,,
09/09/2018,2099,16,27.1,35,0.9,2000,1.27,0,0,0,1,Autumn,,
09/09/2018,2201,17,27.7,33,1.1,2000,1.21,0,0,0,1,Autumn,,
09/09/2018,2368,18,26,35,0.3,2000,0.2,0,0,0,1,Autumn,,
09/09/2018,2033,19,24.1,56,2.5,2000,0.04,0,0,0,1,Autumn,,
09/09/2018,1930,20,22.9,58,2.6,2000,0,0,0,0,1,Autumn,,
09/09/2018,1820,21,22.2,57,1.2,2000,0,0,0,0,1,Autumn,,
09/09/2018,1291,22,21.8,54,1.6,2000,0,0,0,0,1,Autumn,,
09/09/2018,941,23,21.2,56,2.5,2000,0,0,0,0,1,Autumn,,
09/10/2018,792,0,20.7,57,1.8,2000,0,0,0,0,1,Autumn,,
09/10/2018,487,1,20.5,58,1.7,2000,0,0,0,0,1,Autumn,,
09/10/2018,332,2,20,59,1.5,2000,0,0,0,0,1,Autumn,,
09/10/2018,176,3,19.7,60,1.9,2000,0,0,0,0,1,Autumn,,
09/10/2018,188,4,19.4,61,1.6,2000,0,0,0,0,1,Autumn,,
09/10/2018,226,5,19.1,62,1.6,2000,0,0,0,0,1,Autumn,,
09/10/2018,691,6,18.7,64,0.9,2000,0,0,0,0,1,Autumn,,
09/10/2018,1463,7,18.9,63,1.8,2000,0.09,0,0,0,1,Autumn,,
09/10/2018,2278,8,20.1,57,1.6,2000,0.73,0,0,0,1,Autumn,,
09/10/2018,1125,9,22.3,52,1.9,2000,1.43,0,0,0,1,Autumn,,
09/10/2018,862,10,24,47,1.6,1996,2.08,0,0,0,1,Autumn,,
09/10/2018,934,11,25.3,44,1.2,1948,2.59,0,0,0,1,Autumn,,
09/10/2018,1095,12,26.7,40,1.4,2000,2.92,0,0,0,1,Autumn,,
09/10/2018,1057,13,27.1,38,1.7,2000,2.56,0,0,0,1,Autumn,,
09/10/2018,1064,14,27.8,37,1.4,1983,2.67,0,0,0,1,Autumn,,
09/10/2018,1249,15,27.6,38,1.4,2000,2.09,0,0,0,1,Autumn,,
09/10/2018,1467,16,27.5,39,1.5,2000,1.46,0,0,0,1,Autumn,,
09/10/2018,2147,17,26.6,40,1.4,2000,0.69,0,0,0,1,Autumn,,
09/10/2018,3298,18,25.9,42,1.1,2000,0.48,0,0,0,1,Autumn,,
09/10/2018,2518,19,24.4,47,2,2000,0.05,0,0,0,1,Autumn,,
09/10/2018,2240,20,23.4,48,1.8,2000,0,0,0,0,1,Autumn,,
09/10/2018,2090,21,22.5,48,1.4,2000,0,0,0,0,1,Autumn,,
09/10/2018,1779,22,21.7,50,1.6,2000,0,0,0,0,1,Autumn,,
09/10/2018,1223,23,20.8,51,1.7,2000,0,0,0,0,1,Autumn,,
09/11/2018,910,0,20.1,52,1.5,2000,0,0,0,0,1,Autumn,,
09/11/2018,662,1,19.5,52,1.3,2000,0,0,0,0,1,Autumn,,
09/11/2018,435,2,18.9,52,1.1,2000,0,0,0,0,1,Autumn,,
09/11/2018,261,3,18.2,52,1.5,2000,0,0,0,0,1,Autumn,,
09/11/2018,193,4,17.7,52,1.5,2000,0,0,0,0,1,Autumn,,
09/11/2018,258,5,17.2,54,1.3,2000,0,0,0,0,1,Autumn,,
09/11/2018,678,6,17,55,1.2,2000,0,0,0,0,1,Autumn,,
09/11/2018,1556,7,16.9,55,1.4,2000,0.07,0,0,0,1,Autumn,,
09/11/2018,2369,8,17.8,53,1.4,2000,0.51,0,0,0,1,Autumn,,
09/11/2018,1234,9,19.8,49,1.9,2000,1.24,0,0,0,1,Autumn,,
09/11/2018,922,10,21.9,43,1.1,2000,1.89,0,0,0,1,Autumn,,
09/11/2018,1012,11,23.7,40,2,2000,2.6,0,0,0,1,Autumn,,
09/11/2018,1192,12,24.5,40,1.3,1973,2.64,0,0,0,1,Autumn,,
09/11/2018,1102,13,25.7,40,2.2,1997,2.98,0,0,0,1,Autumn,,
09/11/2018,1115,14,25.8,37,1.5,1995,2.22,0,0,0,1,Autumn,,
09/11/2018,1222,15,26,40,1.9,2000,1.53,0,0,0,1,Autumn,,
09/11/2018,1527,16,25.5,44,1.4,2000,1,0,0,0,1,Autumn,,
09/11/2018,2171,17,25.4,44,1.2,2000,0.84,0,0,0,1,Autumn,,
09/11/2018,3222,18,24.7,45,0.7,2000,0.3,0,0,0,1,Autumn,,
09/11/2018,2455,19,23.7,49,1.8,2000,0.03,0,0,0,1,Autumn,,
09/11/2018,2072,20,22.9,48,1.2,2000,0,0,0,0,1,Autumn,,
09/11/2018,2018,21,22.2,50,1.3,2000,0,0,0,0,1,Autumn,,
09/11/2018,1868,22,21.6,52,1.9,2000,0,0,0,0,1,Autumn,,
09/11/2018,1240,23,20.9,53,1.8,2000,0,0,0,0,1,Autumn,,
09/12/2018,949,0,20.2,54,1.2,2000,0,0,0,0,1,Autumn,,
09/12/2018,691,1,19.6,56,1.2,2000,0,0,0,0,1,Autumn,,
09/12/2018,462,2,19,56,0.9,2000,0,0,0,0,1,Autumn,,
09/12/2018,297,3,18.4,57,1.3,2000,0,0,0,0,1,Autumn,,
09/12/2018,215,4,18,59,1.5,2000,0,0,0,0,1,Autumn,,
09/12/2018,241,5,17.5,60,1.6,2000,0,0,0,0,1,Autumn,,
09/12/2018,656,6,17,63,1.3,2000,0,0,0,0,1,Autumn,,
09/12/2018,1551,7,16.8,61,1.3,2000,0.06,0,0,0,1,Autumn,,
09/12/2018,2391,8,18.2,56,1.5,1994,0.62,0,0,0,1,Autumn,,
09/12/2018,1234,9,20.8,48,1.1,2000,1.38,0,0,0,1,Autumn,,
09/12/2018,923,10,22.7,45,1.5,2000,2.08,0,0,0,1,Autumn,,
09/12/2018,1017,11,24.8,44,2.1,1955,2.55,0,0,0,1,Autumn,,
09/12/2018,1165,12,26.3,44,1.2,1966,2.91,0,0,0,1,Autumn,,
09/12/2018,1066,13,26.8,45,1.8,1984,2.6,0,0,0,1,Autumn,,
09/12/2018,1087,14,26.9,45,1.6,2000,2.27,0,0,0,1,Autumn,,
09/12/2018,1251,15,27.7,41,1.6,1969,1.98,0,0,0,1,Autumn,,
09/12/2018,1494,16,27.8,42,1.7,1974,1.98,0,0,0,1,Autumn,,
09/12/2018,2129,17,27.8,41,1.9,1999,1.27,0,0,0,1,Autumn,,
09/12/2018,3256,18,27,44,1.4,2000,0.62,0,0,0,1,Autumn,,
09/12/2018,2443,19,25.4,50,0.6,2000,0.07,0,0,0,1,Autumn,,
09/12/2018,2146,20,24,56,0.5,1890,0,0,0,0,1,Autumn,,
09/12/2018,2012,21,23.2,57,1.1,2000,0,0,0,0,1,Autumn,,
09/12/2018,1824,22,22.6,60,1,2000,0,0,0,0,1,Autumn,,
09/12/2018,1309,23,22.2,62,0.8,2000,0,0,0,0,1,Autumn,,
09/13/2018,968,0,21.9,62,1,1822,0,0,0,0,1,Autumn,,
09/13/2018,736,1,21.5,65,1,2000,0,0,0,0,1,Autumn,,
09/13/2018,437,2,21.2,66,0.8,2000,0,0,0,0,1,Autumn,,
09/13/2018,304,3,20.9,68,1.7,2000,0,0,0,0,1,Autumn,,
09/13/2018,240,4,20.7,69,1.3,2000,0,0,0,0,1,Autumn,,
09/13/2018,248,5,20.5,70,1.2,2000,0,0,0,0,1,Autumn,,
09/13/2018,655,6,20.3,71,1.6,2000,0,0,0,0,1,Autumn,,
09/13/2018,1448,7,20.5,69,1.4,2000,0.03,0,0,0,1,Autumn,,
09/13/2018,2329,8,20.9,68,1.3,2000,0.18,0,0,0,1,Autumn,,
09/13/2018,1322,9,21.8,64,1.6,2000,0.52,0,0,0,1,Autumn,,
09/13/2018,915,10,22.7,61,0.9,2000,0.82,0,0,0,1,Autumn,,
09/13/2018,972,11,23.5,61,1.2,2000,0.95,0,0,0,1,Autumn,,
09/13/2018,1119,12,24.3,59,1.5,2000,1.12,0,0,0,1,Autumn,,
09/13/2018,1014,13,25.1,56,2,1964,1.41,0,0,0,1,Autumn,,
09/13/2018,1097,14,27.2,49,1.5,1945,2.54,0,0,0,1,Autumn,,
09/13/2018,1200,15,27.8,49,1.4,1963,1.97,0,0,0,1,Autumn,,
09/13/2018,1436,16,28.2,48,1.4,1995,1.7,0,0,0,1,Autumn,,
09/13/2018,2021,17,27.9,51,1.4,2000,1.19,0,0,0,1,Autumn,,
09/13/2018,3146,18,26.7,56,1.8,2000,0.47,0,0,0,1,Autumn,,
09/13/2018,2365,19,25.4,61,0.6,2000,0.03,0,0,0,1,Autumn,,
09/13/2018,2003,20,24.6,62,0.9,2000,0,0,0,0,1,Autumn,,
09/13/2018,2000,21,23.8,67,0.6,2000,0,0,0,0,1,Autumn,,
09/13/2018,1713,22,22.8,70,1,2000,0,0,0,0,1,Autumn,,
09/13/2018,1303,23,22.4,73,0.3,1980,0,0,0,0,1,Autumn,,
09/14/2018,971,0,22.1,74,1.1,1962,0,0,0,0,1,Autumn,,
09/14/2018,775,1,21.6,75,1.1,1671,0,0,0,0,1,Autumn,,
09/14/2018,482,2,21.3,75,1.1,2000,0,0,0,0,1,Autumn,,
09/14/2018,349,3,21,76,0.7,1995,0,0,0,0,1,Autumn,,
09/14/2018,223,4,20.7,76,1,2000,0,0,0,0,1,Autumn,,
09/14/2018,249,5,20.7,77,0.9,2000,0,0,0,0,1,Autumn,,
09/14/2018,644,6,20.4,78,1,2000,0,0,0,0,1,Autumn,,
09/14/2018,1456,7,20.5,76,1.3,2000,0.06,0,0,0,1,Autumn,,
09/14/2018,2253,8,21.4,70,1.5,1986,0.38,0,0,0,1,Autumn,,
09/14/2018,1201,9,22.3,69,1.3,2000,0.61,0,0,0,1,Autumn,,
09/14/2018,936,10,23.3,65,1.4,1996,0.76,0,0,0,1,Autumn,,
09/14/2018,982,11,24,64,1.3,2000,0.95,0,0,0,1,Autumn,,
09/14/2018,1088,12,25.3,56,1.2,1960,1.35,0,0,0,1,Autumn,,
09/14/2018,1155,13,26.4,57,1.2,2000,1.8,0,0,0,1,Autumn,,
